num,name,team
1,Kevin Durant,LeBron
2,Stephen Curry,Giannis
3,Kyrie Irving,LeBron
4,Joel Embiid,Giannis
5,Kawhi Leonard,LeBron
6,Paul George,Giannis
7,James Harden,LeBron
8,Kemba Walker,Giannis
9,Khris Middleton,Giannis
10,Anthony Davis,LeBron
11,Nikola Joki_,Giannis
12,Klay Thompson,LeBron
13,Ben Simmons*,Giannis
14,Damian Lillard,LeBron
15,Blake Griffin,Giannis
16,Russell Westbrook*,LeBron
17,D'Angelo Russell,Giannis
18,LaMarcus Aldridge,LeBron
19,Nikola Vu_evi_,Giannis
20,Karl-Anthony Towns,LeBron
21,Kyle Lowry,Giannis
22,Bradley Beal,LeBron
23,Dwyane Wade,LeBron
24,Dirk Nowitzki,Giannis
