Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?,Selected?
1996,90.1,Michael Jordan,CHI,1,40,40,35,30.9,5.8,4.0,1.6,0.5,1.7,56.4,1.2,0.004,33.6,19.8,10,1,1
1996,90.1,Shaquille O'Neal,LAL,3,40,41,28,26.2,13.2,3.2,0.9,3.1,3.1,55.7,0.0,0.003,30.4,18.4,4,1,1
1996,90.1,Latrell Sprewell,GSW,7,39,39,16,25.9,4.9,6.1,1.8,0.8,4.0,57.1,2.2,0.001,28.2,14.5,2,0,1
1996,90.1,Karl Malone,UTA,4,40,40,27,25.8,10.8,4.7,1.3,0.7,3.1,57.6,0.0,0.003,31.5,20.8,9,1,1
1996,90.1,Hakeem Olajuwon,HOU,1,37,41,28,24.1,9.4,2.7,1.5,2.2,3.7,54.8,0.1,0.003,32.2,16.3,11,1,1
1996,90.1,Mitch Richmond,SAC,8,40,40,16,24.1,3.9,3.7,1.3,0.3,2.8,56.0,1.8,0.002,28.4,14.3,4,1,1
1996,90.1,Glen Rice,CHH,6,37,40,21,24.0,4.2,2.0,0.9,0.4,2.2,57.8,2.5,0.002,25.4,11.3,1,1,1
1996,90.1,Allen Iverson,PHI,15,34,39,7,22.8,4.5,6.8,2.3,0.4,4.9,50.3,2.2,0.0,29.0,10.3,0,0,0
1996,90.1,Vin Baker,MIL,10,36,39,18,22.4,10.7,2.4,1.0,1.4,3.6,56.2,0.2,0.003,26.9,14.2,2,1,1
1996,90.1,Gary Payton,SEA,2,40,40,29,22.2,4.4,7.2,2.4,0.1,2.5,55.1,1.4,0.004,26.0,15.6,3,1,1
1996,90.1,Glenn Robinson,MIL,10,38,39,19,22.1,6.6,3.6,1.1,0.8,3.3,55.5,0.8,0.002,26.8,13.6,0,0,0
1996,90.1,Tom Gugliotta,MIN,6,40,40,18,22.0,9.2,3.8,1.6,1.2,3.8,53.1,0.5,0.001,28.6,14.7,0,0,1
1996,90.1,Shawn Kemp,SEA,2,40,40,29,21.9,11.1,1.7,1.7,1.2,3.5,60.6,0.2,0.003,26.9,16.1,4,1,1
1996,90.1,Grant Hill,DET,2,37,38,27,21.3,8.5,6.9,1.8,0.7,3.1,56.0,0.2,0.004,28.1,20.5,2,1,1
1996,90.1,Patrick Ewing,NYK,4,40,40,28,21.3,10.8,1.7,1.1,2.7,3.5,53.4,0.0,0.004,28.8,17.8,10,1,1
1996,90.1,Kendall Gill,NJN,13,37,37,10,21.2,6.8,3.7,2.1,0.7,2.9,53.1,0.8,0.003,24.4,13.6,0,0,0
1996,90.1,Reggie Miller,IND,8,37,38,18,21.1,3.8,3.4,0.8,0.3,2.0,60.0,2.8,0.003,24.8,16.0,3,1,0
1996,90.1,LaPhonso Ellis,DEN,12,21,40,4,20.9,6.6,1.6,0.7,1.0,2.0,55.3,1.6,0.001,29.2,12.3,0,0,0
